,id,class
0,0011165.jpg,1 1 0 0
1,002be4f.jpg,1 1 0 1
2,0031ae9.jpg,1 1 0 1
3,0035239.jpg,0 1 1 0
4,003994e.jpg,1 0 1 1
5,00498ec.jpg,0 0 1 0
6,006bf7c.jpg,1 0 0 1
7,006c5a6.jpg,1 0 0 1
8,008233e.jpg,0 0 0 1
9,008a5ff.jpg,1 0 0 1
10,0091591.jpg,0 1 1 1
11,0095357.jpg,0 0 0 1
12,009e2f3.jpg,1 0 1 1
13,00a0954.jpg,0 0 1 1
14,00b81e1.jpg,0 1 1 1
15,00bea06.jpg,1 0 1 0
16,00cedfa.jpg,0 0 1 1
17,00d4443.jpg,0 0 0 1
18,00dec6a.jpg,1 1 1 1
19,0100a84.jpg,1 0 1 0
20,0104b5b.jpg,0 0 0 1
21,0107838.jpg,1 0 1 1
22,0118bff.jpg,0 1 0 1
23,011ba04.jpg,1 1 0 1
24,01242d7.jpg,1 0 1 1
25,014310a.jpg,1 0 0 1
26,0146ef3.jpg,1 0 0 0
27,0153a8b.jpg,1 0 1 1
28,015aa06.jpg,1 1 1 1
29,015b764.jpg,1 1 0 1
30,016c135.jpg,1 0 1 1
31,017ded1.jpg,1 0 0 1
32,0187cd7.jpg,0 1 1 1
33,01a7865.jpg,0 1 1 1
34,01c6ec3.jpg,0 1 0 0
35,01eecc1.jpg,1 0 0 0
36,0208ccf.jpg,0 1 0 1
37,021bb26.jpg,1 0 0 1
38,0225687.jpg,1 1 1 0
39,022a275.jpg,0 0 1 0
40,022d78c.jpg,0 1 1 0
41,022fd47.jpg,0 0 1 0
42,023accd.jpg,1 1 1 0
43,025ad96.jpg,0 0 1 0
44,02601cd.jpg,0 1 1 1
45,0269e9a.jpg,1 1 0 0
46,027000d.jpg,0 0 1 1
47,0277e9a.jpg,1 0 1 1
48,028fd83.jpg,0 0 1 1
49,028fe8a.jpg,0 1 0 1
50,029b861.jpg,1 0 0 0
51,02b6a5d.jpg,1 0 1 0
52,02c3e33.jpg,1 0 0 1
53,030ac75.jpg,1 1 1 0
54,031bfc5.jpg,1 0 1 1
55,0326622.jpg,1 0 0 1
56,0330f49.jpg,1 0 1 0
57,034a383.jpg,1 1 0 0
58,034ef1c.jpg,1 0 0 0
59,0358d2e.jpg,1 0 0 1
60,0362b0a.jpg,0 1 0 0
61,0365c50.jpg,0 1 1 1
62,038407e.jpg,0 1 0 1
63,03a5e35.jpg,1 0 1 1
64,03b1dc4.jpg,0 0 1 1
65,03c3906.jpg,1 1 0 1
66,03eb81a.jpg,1 0 0 1
67,03ed174.jpg,0 1 1 1
68,04029b4.jpg,0 1 0 1
69,041cc12.jpg,0 1 1 1
70,042bba1.jpg,1 0 1 1
71,042f854.jpg,0 0 1 1
72,0432314.jpg,1 1 1 1
73,0434aa4.jpg,0 1 1 1
74,043e76c.jpg,1 1 1 1
75,043fe61.jpg,1 1 0 1
76,0448942.jpg,1 0 1 0
77,044b59c.jpg,0 0 0 1
78,0451ee4.jpg,1 0 1 1
79,045e367.jpg,1 0 1 1
80,046586a.jpg,0 0 0 1
81,047be07.jpg,0 1 0 1
82,0488540.jpg,1 0 1 1
83,04920b8.jpg,0 0 1 1
84,0493d31.jpg,0 0 0 1
85,049585f.jpg,1 1 1 1
86,0499a68.jpg,0 0 1 1
87,04a4276.jpg,1 1 0 0
88,04c2acd.jpg,1 1 0 1
89,04d2879.jpg,0 1 0 1
90,04d5fe8.jpg,1 0 1 0
91,04d92ec.jpg,1 1 1 1
92,04df149.jpg,0 1 1 0
93,04f9039.jpg,1 0 1 1
94,04fddf9.jpg,0 1 1 0
95,04fe809.jpg,1 0 1 1
96,05028f9.jpg,0 1 0 1
97,0502b9e.jpg,0 0 1 1
98,0505b52.jpg,1 1 0 0
99,050937d.jpg,1 0 0 1
100,05193c8.jpg,0 0 1 1
101,053f180.jpg,0 1 0 0
102,054c1e5.jpg,1 1 0 1
103,0556b64.jpg,1 0 0 1
104,05572a2.jpg,0 1 1 1
105,055ebcb.jpg,0 1 1 0
106,0561c49.jpg,0 1 1 1
107,056b48e.jpg,0 1 0 1
108,05776fc.jpg,1 1 0 1
109,059cca2.jpg,0 0 1 1
110,059fc10.jpg,1 1 0 1
111,05a1aa8.jpg,1 0 0 1
112,05c0dfb.jpg,1 0 0 0
113,05e20ba.jpg,1 0 1 1
114,05e67a7.jpg,0 0 0 1
115,05ea471.jpg,0 0 0 1
116,05f1431.jpg,0 1 0 1
117,05f5370.jpg,1 1 1 1
118,060774a.jpg,0 0 1 1
119,060ce39.jpg,1 1 0 1
120,061cda5.jpg,0 0 0 1
121,0624fa5.jpg,1 0 1 0
122,064dd48.jpg,0 0 1 1
123,065623d.jpg,1 0 1 1
124,066c71d.jpg,0 1 1 0
125,066f427.jpg,0 1 0 1
126,06728a1.jpg,0 1 0 0
127,0686242.jpg,1 1 1 0
128,068771e.jpg,1 0 1 1
129,0687f62.jpg,0 0 1 0
130,068d881.jpg,0 0 1 1
131,06968b0.jpg,0 1 0 1
132,0697495.jpg,1 0 0 0
133,0698236.jpg,1 1 1 1
134,06b7be8.jpg,1 0 0 0
135,06b84fd.jpg,1 0 1 0
136,06d6a41.jpg,0 0 0 1
137,06e5dd6.jpg,1 0 1 1
138,06f1f1f.jpg,1 0 1 1
139,070f5c6.jpg,0 1 0 1
140,0718a60.jpg,0 0 1 1
141,071edac.jpg,0 1 0 0
142,0721695.jpg,1 0 0 1
143,072c41a.jpg,0 1 1 1
144,07358b2.jpg,0 0 1 1
145,0741fda.jpg,0 1 1 1
146,0745d08.jpg,0 1 0 1
147,07551f3.jpg,0 1 1 0
148,0761274.jpg,0 1 0 0
149,0766057.jpg,1 1 0 0
150,076de5e.jpg,0 1 0 0
151,0770f53.jpg,1 1 0 1
152,0778609.jpg,0 0 0 1
153,077bd40.jpg,0 1 1 0
154,0799206.jpg,0 0 0 1
155,079aef5.jpg,0 1 0 1
156,07c3377.jpg,0 1 0 0
157,07c5a0d.jpg,1 0 1 1
158,07c5fc9.jpg,1 0 0 1
159,07f289d.jpg,0 1 0 1
160,07f403d.jpg,1 1 0 1
161,080c004.jpg,1 0 1 1
162,0821c37.jpg,0 1 0 1
163,08329b8.jpg,0 0 1 1
164,085507c.jpg,1 0 0 1
165,0862841.jpg,1 1 1 1
166,086b4ce.jpg,1 0 1 0
167,086c226.jpg,0 0 1 1
168,0875ced.jpg,0 1 0 1
169,0879076.jpg,1 0 0 1
170,087f98b.jpg,0 0 0 1
171,08aa34b.jpg,1 0 0 1
172,08b4cfe.jpg,0 0 1 1
173,08b7a6a.jpg,0 0 1 1
174,08b9a6f.jpg,1 0 0 1
175,08e5ced.jpg,1 0 1 1
176,08ece64.jpg,0 1 0 1
177,08f255e.jpg,1 0 0 0
178,08f8226.jpg,0 1 0 1
179,08f8fe9.jpg,0 1 0 0
180,09024fd.jpg,0 1 0 1
181,090a037.jpg,1 0 1 1
182,0916eef.jpg,1 0 0 1
183,0917ffe.jpg,1 1 0 0
184,0929f85.jpg,0 0 1 0
185,09439a0.jpg,0 1 1 0
186,094e354.jpg,0 0 0 1
187,0966d21.jpg,0 0 0 1
188,0968521.jpg,1 0 0 1
189,098252b.jpg,1 1 0 1
190,098c5e0.jpg,1 1 0 1
191,09a95c4.jpg,1 1 1 1
192,09bde05.jpg,0 1 0 1
193,09bdff1.jpg,0 0 1 1
194,09c269d.jpg,0 0 1 1
195,09c64c8.jpg,0 0 1 1
196,09cf686.jpg,0 1 1 1
197,09cfd7c.jpg,0 1 0 1
198,09d0eee.jpg,0 1 0 0
199,09d3a37.jpg,0 1 0 0
200,09d567c.jpg,0 1 0 1
201,09e313c.jpg,0 1 1 1
202,09ed9b1.jpg,0 1 1 1
203,09f7f88.jpg,0 0 1 1
204,0a14f2b.jpg,1 0 1 1
205,0a1b596.jpg,0 0 1 1
206,0a20edf.jpg,0 0 1 0
207,0a21f23.jpg,1 0 1 1
208,0a3154d.jpg,0 0 1 1
209,0a380d0.jpg,0 1 0 0
210,0a421b8.jpg,1 1 0 0
211,0a44491.jpg,0 1 1 1
212,0a4657d.jpg,1 1 0 0
213,0a515e3.jpg,1 0 1 0
214,0a5d418.jpg,0 1 0 1
215,0a60891.jpg,0 0 1 1
216,0a709e6.jpg,1 1 0 0
217,0a7a247.jpg,1 0 1 0
218,0a89811.jpg,0 1 1 0
219,0a914ab.jpg,0 0 0 1
220,0a969b9.jpg,1 0 1 1
221,0a97028.jpg,0 0 1 1
222,0a99863.jpg,1 1 1 0
223,0aa2df7.jpg,0 1 0 0
224,0aaa299.jpg,1 1 1 0
225,0aaa3dd.jpg,1 0 0 0
226,0ab1fb2.jpg,0 1 0 1
227,0ab6229.jpg,1 0 0 1
228,0ac087b.jpg,0 0 1 1
229,0ac5f5c.jpg,0 1 0 0
230,0ad0a05.jpg,0 1 1 1
231,0ad3dde.jpg,0 1 0 1
232,0ad97bb.jpg,0 0 1 0
233,0ae8c34.jpg,1 0 1 1
234,0ae968e.jpg,1 1 0 0
235,0afaa7f.jpg,0 0 1 1
236,0afd5a6.jpg,0 1 1 0
237,0b10051.jpg,0 1 0 0
238,0b1dd45.jpg,0 0 1 1
239,0b265f4.jpg,0 0 1 1
240,0b32df8.jpg,1 0 1 1
241,0b3fd78.jpg,1 0 0 1
242,0b4fb36.jpg,0 1 1 1
243,0b53e2c.jpg,1 1 0 1
244,0b5a667.jpg,0 1 0 1
245,0b652e1.jpg,1 0 0 0
246,0b6e69c.jpg,0 0 0 1
247,0b80c78.jpg,1 0 0 1
248,0bb16fb.jpg,0 1 0 1
249,0bb93f0.jpg,0 1 1 1
250,0bca0fc.jpg,0 1 1 1
251,0bdb3e1.jpg,1 1 1 1
252,0be49f7.jpg,1 0 0 1
253,0bfbfc8.jpg,1 0 0 1
254,0c0e600.jpg,0 0 0 1
255,0c10e30.jpg,0 1 0 0
256,0c15f22.jpg,1 1 1 1
257,0c1d048.jpg,1 1 1 1
258,0c1e565.jpg,0 1 1 1
259,0c2a033.jpg,1 0 1 1
260,0c4cbab.jpg,0 0 1 1
261,0c4f038.jpg,0 1 1 1
262,0c64c69.jpg,0 1 0 1
263,0c76794.jpg,1 0 0 1
264,0c88342.jpg,1 0 1 1
265,0c95a41.jpg,1 0 0 0
266,0ca6ecd.jpg,0 0 1 1
267,0cabeda.jpg,1 0 1 1
268,0cad5f3.jpg,1 1 1 0
269,0cb6144.jpg,1 1 1 1
270,0cd0a7d.jpg,0 0 0 1
271,0cd556b.jpg,0 1 1 0
272,0cdffd9.jpg,1 0 0 1
273,0cf1dcc.jpg,1 0 0 1
274,0cf6773.jpg,0 1 0 1
275,0d01dad.jpg,1 0 1 1
276,0d08b24.jpg,0 1 0 0
277,0d0af9a.jpg,0 0 1 1
278,0d0b28c.jpg,1 0 1 1
279,0d0de88.jpg,1 0 0 1
280,0d24e80.jpg,1 0 0 0
281,0d38eab.jpg,1 0 0 1
282,0d56b5d.jpg,1 1 1 1
283,0d675fc.jpg,1 1 0 1
284,0d6d044.jpg,1 0 0 0
285,0d73dcc.jpg,0 1 1 1
286,0d81f99.jpg,1 1 0 0
287,0d82645.jpg,0 1 0 1
288,0d84609.jpg,0 0 1 1
289,0d90683.jpg,1 0 0 0
290,0dab774.jpg,1 0 0 0
291,0db22fe.jpg,1 0 1 1
292,0dbccb5.jpg,0 1 0 1
293,0dbe95f.jpg,1 0 1 0
294,0dc7bb3.jpg,0 0 1 1
295,0dcd917.jpg,1 0 1 1
296,0dd0c51.jpg,1 0 1 0
297,0ddf358.jpg,1 0 1 1
298,0de33f1.jpg,1 0 0 1
299,0dfbb7e.jpg,1 0 1 1
300,0e00929.jpg,1 1 1 0
301,0e2612c.jpg,1 1 0 0
302,0e26259.jpg,0 1 0 0
303,0e407e8.jpg,0 1 0 1
304,0e42958.jpg,0 0 1 1
305,0e47c4d.jpg,1 1 1 1
306,0e54437.jpg,1 1 1 1
307,0e56ffd.jpg,1 0 1 0
308,0e77759.jpg,0 0 1 1
309,0e79fa8.jpg,1 0 1 1
310,0e86f87.jpg,0 1 0 1
311,0e8c498.jpg,0 0 1 1
312,0e9c181.jpg,0 0 1 1
313,0e9deba.jpg,1 0 1 1
314,0ea56ef.jpg,1 1 1 1
315,0eb8784.jpg,0 1 0 1
316,0eba747.jpg,1 0 0 0
317,0ebb3e3.jpg,1 0 1 1
318,0ece863.jpg,0 0 1 1
319,0eecb90.jpg,0 1 0 1
320,0eee242.jpg,0 0 1 0
321,0ef0a95.jpg,1 1 1 0
322,0eff39e.jpg,1 1 1 1
323,0f1786f.jpg,0 1 0 0
324,0f1a7a3.jpg,0 1 0 1
325,0f1d18d.jpg,0 1 0 1
326,0f21e87.jpg,0 0 1 1
327,0f22465.jpg,1 1 0 1
328,0f34634.jpg,1 0 1 0
329,0f507d3.jpg,1 0 1 1
330,0f529c5.jpg,0 1 0 0
331,0f57642.jpg,1 1 1 0
332,0f5f991.jpg,1 1 0 1
333,0f6a44e.jpg,0 0 1 1
334,0f7b777.jpg,1 0 1 1
335,0f91409.jpg,0 0 1 0
336,0f9a390.jpg,1 0 0 0
337,0fa3287.jpg,0 1 0 1
338,0fb3674.jpg,0 0 1 1
339,0fb5df4.jpg,0 1 1 1
340,0fb64d9.jpg,0 0 0 1
341,0fc0e21.jpg,1 1 0 1
342,0fcf213.jpg,0 0 1 0
343,0fdf64a.jpg,1 0 1 0
344,0fe3fd9.jpg,0 1 0 0
345,0ff2c12.jpg,0 1 1 1
346,100752c.jpg,0 0 1 0
347,1007e0c.jpg,1 1 0 0
348,100bcc1.jpg,1 0 0 0
349,1013c1d.jpg,1 1 0 1
350,10192c3.jpg,1 0 1 1
351,10257e5.jpg,1 0 1 1
352,10401e7.jpg,1 1 0 1
353,1047aa1.jpg,1 1 0 0
354,104b257.jpg,0 1 1 0
355,1054bbd.jpg,0 0 1 1
356,105edca.jpg,1 0 0 0
357,106b15a.jpg,0 1 0 1
358,109a3ef.jpg,1 0 1 1
359,10bed8d.jpg,1 1 0 0
360,10c1a52.jpg,0 0 1 1
361,10cbb5e.jpg,0 1 0 0
362,10cd67c.jpg,1 0 1 1
363,10dabe8.jpg,0 1 0 1
364,10de692.jpg,0 1 1 1
365,10e475e.jpg,0 1 1 0
366,10e4ca6.jpg,0 1 0 0
367,10ed18e.jpg,1 0 1 1
368,10ed865.jpg,1 0 0 0
369,10f21b7.jpg,0 0 0 1
370,10f4f4c.jpg,0 0 0 1
371,1120e13.jpg,0 0 0 1
372,1127056.jpg,1 1 0 1
373,1130091.jpg,0 0 0 1
374,11388ad.jpg,0 1 0 1
375,1139fcf.jpg,0 1 0 1
376,1149759.jpg,1 0 1 1
377,114d48a.jpg,0 1 0 0
378,115943f.jpg,1 0 1 1
379,116433b.jpg,0 1 0 0
380,116670d.jpg,0 1 1 1
381,116afdf.jpg,1 0 0 1
382,1187ec0.jpg,1 1 0 0
383,118da86.jpg,0 1 0 1
384,11958e0.jpg,0 1 0 0
385,11c88d4.jpg,0 0 1 1
386,11e8e7b.jpg,1 0 0 0
387,11f25d7.jpg,0 0 1 1
388,11f2a0a.jpg,1 1 0 1
389,11ff032.jpg,0 0 1 1
390,121ea48.jpg,1 1 1 1
391,12252ea.jpg,1 0 0 0
392,1230c60.jpg,1 1 0 0
393,1238aa0.jpg,0 1 0 1
394,1248c99.jpg,1 1 0 0
395,124fa12.jpg,1 1 0 1
396,125ac07.jpg,1 1 0 1
397,1283aa1.jpg,1 0 1 1
398,1284dde.jpg,1 1 0 1
399,1287d3a.jpg,1 1 1 1
400,12acb4b.jpg,0 1 0 1
401,12ae62b.jpg,1 0 1 1
402,12af2d9.jpg,1 1 1 1
403,12b065b.jpg,0 1 1 1
404,12b2ee4.jpg,1 1 0 1
405,12be121.jpg,1 0 1 1
406,12be717.jpg,0 1 0 0
407,12db338.jpg,0 1 0 0
408,12e0e0d.jpg,1 1 1 1
409,12e10fa.jpg,1 0 1 0
410,12e55a8.jpg,0 1 0 1
411,12ee67e.jpg,1 1 1 1
412,12ffc06.jpg,0 1 0 0
413,1308693.jpg,0 1 0 1
414,130f074.jpg,0 0 1 1
415,1311a82.jpg,0 0 1 0
416,13123f6.jpg,1 0 1 1
417,1313e97.jpg,0 0 1 1
418,131cad7.jpg,0 0 1 0
419,131fd60.jpg,0 0 0 1
420,134d522.jpg,1 1 0 0
421,1353ca0.jpg,1 0 1 0
422,135537c.jpg,0 1 0 0
